ECG,Heart Rate
-0.187988,89
-0.188599,89
-0.189209,89
-0.189514,89
-0.189819,89
-0.190125,89
-0.19043,89
-0.19043,89
-0.19043,89
-0.190735,89
-0.19104,89
-0.19104,89
-0.191345,89
-0.19165,89
-0.192261,89
-0.193176,89
-0.194397,89
-0.195618,89
-0.197144,89
-0.198364,89
-0.199585,89
-0.2005,89
-0.201416,89
-0.202026,89
-0.202026,89
-0.202026,89
-0.201416,89
-0.200806,89
-0.19989,89
-0.19928,89
-0.198364,89
-0.197449,89
-0.196533,89
-0.195923,89
-0.195007,89
-0.193787,89
-0.192871,89
-0.19165,89
-0.190125,89
-0.188904,89
-0.187683,89
-0.186768,89
-0.185852,89
-0.185547,89
-0.185242,89
-0.184937,89
-0.184937,89
-0.184937,89
-0.184631,89
-0.184326,89
-0.183716,89
-0.183105,89
-0.18219,89
-0.180969,89
-0.180359,89
-0.179749,89
-0.179443,89
-0.179443,89
-0.179749,89
-0.180054,89
-0.180359,89
-0.180664,89
-0.180969,89
-0.180969,89
-0.180664,89
-0.180359,89
-0.179749,89
-0.179138,89
-0.178833,89
-0.178528,89
-0.178528,89
-0.178528,89
-0.178833,89
-0.178833,89
-0.178528,89
-0.178223,89
-0.177612,89
-0.176392,89
-0.175171,89
-0.173645,89
-0.172119,89
-0.170898,89
-0.169678,89
-0.168457,89
-0.167542,89
-0.166931,89
-0.166321,89
-0.16571,89
-0.165405,89
-0.1651,89
-0.165405,89
-0.16571,89
-0.166016,89
-0.166321,89
-0.166626,89
-0.166626,89
-0.166626,89
-0.166626,89
-0.166626,89
-0.166626,89
-0.166321,89
-0.166016,89
-0.16571,89
-0.1651,89
-0.164185,89
-0.162964,89
-0.161438,89
-0.159912,89
-0.158081,89
-0.156555,89
-0.155029,89
-0.153198,89
-0.151672,89
-0.150146,89
-0.148621,89
-0.147095,89
-0.146179,89
-0.145264,89
-0.144653,89
-0.144653,89
-0.144653,89
-0.144653,89
-0.144958,89
-0.144958,89
-0.144958,89
-0.144653,89
-0.144348,89
-0.143433,89
-0.142517,89
-0.141602,89
-0.140381,89
-0.139465,89
-0.138855,89
-0.13855,89
-0.138245,89
-0.138245,89
-0.137939,89
-0.137634,89
-0.137329,89
-0.136719,89
-0.135803,89
-0.135498,89
-0.135193,89
-0.135498,89
-0.135803,89
-0.136719,89
-0.137634,89
-0.13855,89
-0.139771,89
-0.140991,89
-0.142212,89
-0.143127,89
-0.143738,89
-0.144348,89
-0.144653,89
-0.144348,89
-0.143738,89
-0.142822,89
-0.141907,89
-0.140686,89
-0.139465,89
-0.138245,89
-0.137024,89
-0.135803,89
-0.134583,89
-0.133667,89
-0.132446,89
-0.131531,89
-0.130615,89
-0.13031,89
-0.130005,89
-0.130005,89
-0.130615,89
-0.131531,89
-0.132751,89
-0.133667,89
-0.134888,89
-0.136108,89
-0.137024,89
-0.138245,89
-0.13916,89
-0.140076,89
-0.140686,89
-0.140991,89
-0.141602,89
-0.141907,89
-0.141907,89
-0.142212,89
-0.142517,89
-0.142822,89
-0.143127,89
-0.143127,89
-0.142822,89
-0.142212,89
-0.141907,89
-0.141602,89
-0.141296,89
-0.141296,89
-0.141296,89
-0.141296,89
-0.141602,89
-0.141602,89
-0.141602,89
-0.141602,89
-0.141296,89
-0.140991,89
-0.140686,89
-0.140686,89
-0.140381,89
-0.140381,89
-0.140381,89
-0.140381,89
-0.140076,89
-0.139465,89
-0.138855,89
-0.137939,89
-0.137024,89
-0.136719,89
-0.136414,89
-0.136108,89
-0.136108,89
-0.136108,89
-0.135803,89
-0.135803,89
-0.135803,89
-0.135498,89
-0.135498,89
-0.135193,89
-0.135193,89
-0.135193,89
-0.134888,89
-0.134277,89
-0.133667,89
-0.133362,89
-0.133057,89
-0.133362,89
-0.133972,89
-0.134888,89
-0.135803,89
-0.136414,89
-0.136719,89
-0.137024,89
-0.137024,89
-0.137024,89
-0.137024,89
-0.137024,89
-0.137024,89
-0.137024,89
-0.137024,89
-0.136719,89
-0.136719,89
-0.136719,89
-0.136414,89
-0.136108,89
-0.135498,89
-0.134888,89
-0.133667,89
-0.132446,89
-0.131226,89
-0.129395,89
-0.127563,89
-0.125122,89
-0.122681,89
-0.119629,89
-0.116272,89
-0.112915,89
-0.109558,89
-0.106201,89
-0.102539,89
-0.0985718,89
-0.0942993,89
-0.0897217,89
-0.0848389,89
-0.0799561,89
-0.0747681,89
-0.0698853,89
-0.0650024,89
-0.06073,89
-0.0567627,89
-0.0534058,89
-0.050354,89
-0.0476074,89
-0.0448608,89
-0.0421143,89
-0.0390625,89
-0.0363159,89
-0.0335693,89
-0.0314331,89
-0.0296021,89
-0.0280762,89
-0.0265503,89
-0.0253296,89
-0.0241089,89
-0.0228882,89
-0.0219727,89
-0.0210571,89
-0.0204468,89
-0.0195313,89
-0.0192261,89
-0.0189209,89
-0.0186157,89
-0.0189209,89
-0.0192261,89
-0.0201416,89
-0.0216675,89
-0.0234985,89
-0.0256348,89
-0.0280762,89
-0.0308228,89
-0.0338745,89
-0.0369263,89
-0.039978,89
-0.043335,89
-0.0466919,89
-0.050354,89
-0.0540161,89
-0.0576782,89
-0.0613403,89
-0.0646973,89
-0.0680542,89
-0.0708008,89
-0.0732422,89
-0.0756836,89
-0.0775146,89
-0.0790405,89
-0.0805664,89
-0.0820923,89
-0.0836182,89
-0.085144,89
-0.0869751,89
-0.088501,89
-0.090332,89
-0.0921631,89
-0.0939941,89
-0.0961304,89
-0.0982666,89
-0.101013,89
-0.104065,89
-0.107117,89
-0.110168,89
-0.11322,89
-0.116577,89
-0.119934,89
-0.123291,89
-0.126038,89
-0.129089,89
-0.131531,89
-0.134277,89
-0.136414,89
-0.138855,89
-0.140686,89
-0.141907,89
-0.142517,89
-0.142822,89
